energy_MeV,H1_sigmaT,O16_sigmaT
0.000209631,20.4303,3.88783
0.000221874,20.4272,3.8878
0.000234832,20.424,3.88777
0.000248547,20.4209,3.88774
0.000263063,20.4178,3.88771
0.000278427,20.4147,3.88767
0.000294688,20.4116,3.88763
0.000311899,20.4085,3.88759
0.000330115,20.4054,3.88755
0.000349395,20.4023,3.88751
0.000369801,20.3992,3.88746
0.000391399,20.3962,3.88741
0.000414258,20.3931,3.88735
0.000438452,20.39,3.8873
0.00046406,20.387,3.88724
0.000491162,20.3839,3.88718
0.000519848,20.3809,3.88711
0.000550209,20.3778,3.88703
0.000582344,20.3748,3.88696
0.000616355,20.3717,3.88689
0.000652352,20.3687,3.8868
0.000690452,20.3657,3.88671
0.000730777,20.3626,3.88662
0.000773457,20.3596,3.88652
0.00081863,20.3566,3.88642
0.000866441,20.3536,3.88631
0.000917044,20.3503,3.88619
0.000970603,20.3469,3.88607
0.00102729,20.3365,3.88593
0.00108729,20.3182,3.88579
0.00115079,20.2999,3.88564
0.001218,20.2817,3.88549
0.00128913,20.2633,3.88532
0.00136443,20.2449,3.88514
0.00144411,20.2265,3.88496
0.00152845,20.2081,3.88477
0.00161772,20.1897,3.88456
0.0017122,20.1713,3.88434
0.0018122,20.1529,3.88411
0.00191804,20.1346,3.88386
0.00203006,20.1163,3.8836
0.00214862,20.098,3.88328
0.00227411,20.0797,3.88297
0.00240693,20.0615,3.88266
0.0025475,20.0432,3.88235
0.00269629,20.025,3.88204
0.00285376,20.0068,3.88166
0.00302043,19.9886,3.88125
0.00319683,19.9704,3.88084
0.00338354,19.9523,3.88043
0.00358115,19.9341,3.87998
0.00379031,19.916,3.87947
0.00401167,19.8979,3.87896
0.00424597,19.8798,3.87845
0.00449395,19.8617,3.87785
0.00475641,19.8434,3.87724
0.00503421,19.8212,3.87661
0.00532822,19.7711,3.87587
0.00563941,19.7213,3.87514
0.00596877,19.6715,3.8744
0.00631737,19.6216,3.87363
0.00668633,19.5719,3.87273
0.00707684,19.5222,3.87182
0.00749015,19.4727,3.87092
0.0079276,19.4233,3.86986
0.00839061,19.3741,3.86879
0.00888065,19.3249,3.86768
0.00939931,19.2757,3.86645
0.00994827,19.2264,3.86521
0.0105293,19.1386,3.8638
0.0111442,19.0474,3.86237
0.0117951,18.9565,3.86094
0.012484,18.8661,3.85951
0.0132131,18.776,3.85777
0.0139848,18.6863,3.85602
0.0148015,18.597,3.85427
0.015666,18.5081,3.85228
0.016581,18.4196,3.85021
0.0175493,18.3316,3.84813
0.0185743,18.2437,3.84574
0.0196591,18.1563,3.84335
0.0208073,18.0344,3.84053
0.0220225,17.8983,3.83752
0.0233087,17.763,3.83451
0.02467,17.6287,3.83151
0.0261108,17.4953,3.82851
0.0276358,17.3629,3.82542
0.0292498,17.2315,3.82145
0.0309581,17.0784,3.81748
0.0327662,16.9088,3.81352
0.0346799,16.7408,3.80955
0.0367053,16.5742,3.80478
0.038849,16.4093,3.79985
0.041118,16.2301,3.79492
0.0435194,16.0362,3.78959
0.0460611,15.8445,3.7837
0.0487512,15.6549,3.77782
0.0515985,15.4522,3.77151
0.054612,15.2399,3.76486
0.0578016,15.0304,3.75822
0.0611774,14.8157,3.75159
0.0647504,14.5891,3.74402
0.0685321,14.3657,3.73589
0.0725346,14.1338,3.72777
0.0767709,13.8985,3.71904
0.0812546,13.6625,3.70942
0.0860001,13.4185,3.69982
0.0910229,13.1759,3.68917
0.0963389,12.9265,3.67807
0.101966,12.6757,3.66672
0.107921,12.4184,3.65485
0.114224,12.1662,3.64302
0.120895,11.9166,3.63122
0.127955,11.6563,3.61831
0.135429,11.4016,3.60379
0.143338,11.1463,3.58933
0.15171,10.8885,3.57502
0.16057,10.6358,3.56112
0.169948,10.3789,3.54727
0.179873,10.1282,3.53237
0.190379,9.8755,3.51636
0.201497,9.62805,3.50077
0.213266,9.38071,3.4876
0.225721,9.13726,3.47597
0.238904,8.89721,3.46619
0.252857,8.65938,3.46241
0.267625,8.42578,3.46521
0.283255,8.19619,3.47822
0.299798,7.97054,3.50836
0.317308,7.74878,3.57662
0.33584,7.53148,3.71284
0.355454,7.31876,3.99803
0.376214,7.11072,4.6693
0.398186,6.90733,6.58724
0.421442,6.7087,12.9362
0.446055,6.51486,13.786
0.472107,6.32582,6.70755
0.499679,6.14173,4.49324
0.528863,5.96218,3.70302
0.55975,5.78767,3.32694
0.592442,5.61783,3.11065
0.627042,5.45265,2.96692
0.663664,5.29208,2.86106
0.702424,5.13598,2.78176
0.743449,4.98422,2.72746
0.786869,4.83674,2.70915
0.832825,4.69346,2.76612
0.881465,4.55426,3.03665
0.932946,4.41893,4.16804
0.987433,4.28743,7.81257
1.0451,4.15941,5.58169
1.10614,4.03506,3.51315
1.17074,3.91403,2.84949
1.23912,3.79624,2.7447
1.31149,3.6816,6.67829
1.38808,3.56986,2.50629
1.46915,3.46099,2.10424
1.55496,3.35484,1.93373
1.64577,3.25132,2.80929
1.74189,3.15032,1.69085
1.84363,3.05168,2.34067
1.9513,2.9553,1.81175
2.06526,2.86113,1.49112
2.18588,2.76911,1.28553
2.31355,2.67907,0.412184
2.44867,2.59091,0.889585
2.59168,2.50473,1.09107
2.74304,2.42027,1.09056
2.90324,2.33772,1.08648
3.07281,2.25657,1.39613
3.25227,2.17736,2.90303
3.44221,2.09982,4.66301
3.64325,2.02389,3.06213
3.85603,1.94951,2.40923
4.08124,1.87672,1.21679
4.3196,1.80553,2.9749
4.57188,1.73601,1.32459
4.83889,1.66792,2.01998
5.1215,1.60121,3.51088
5.42062,1.53641,0.980779
5.7372,1.47297,1.39236
6.07227,1.41142,1.33402
6.42692,1.3513,1.10121
6.80227,1.29268,1.41881
7.19955,1.23578,1.82198
7.62003,1.18053,1.15465
8.06507,1.1269,0.900167
8.5361,1.07477,1.11322
9.03464,1.02435,1.32807
9.5623,0.975519,1.21579
10.1208,0.928292,1.40293
10.7119,0.882686,1.23476
11.3375,0.838703,1.62731
11.9996,0.796334,1.64873
12.7004,0.755469,1.55214
13.4422,0.716214,1.59723
14.2273,0.678448,1.61553
15.0582,0.642214,1.75589
15.9377,0.607429,1.5935
16.8685,0.574062,1.58528
17.8537,0.542121,1.6229
18.8964,0.511545,1.67874
20,0.482296,1.6398
