energy_MeV,U238_inelastic
6.78683e-07,0
7.18321e-07,0
7.60273e-07,0
8.04676e-07,0
8.51672e-07,0
9.01413e-07,0
9.54059e-07,0
1.00978e-06,0
1.06875e-06,0
1.13117e-06,0
1.19724e-06,0
1.26716e-06,0
1.34117e-06,0
1.4195e-06,0
1.5024e-06,0
1.59015e-06,0
1.68302e-06,0
1.78131e-06,0
1.88535e-06,0
1.99546e-06,0
2.112e-06,0
2.23535e-06,0
2.3659e-06,0
2.50408e-06,0
2.65033e-06,0
2.80512e-06,0
2.96895e-06,0
3.14235e-06,0
3.32587e-06,0
3.52011e-06,0
3.7257e-06,0
3.9433e-06,0
4.1736e-06,0
4.41735e-06,0
4.67534e-06,0
4.9484e-06,0
5.2374e-06,0
5.54329e-06,0
5.86704e-06,0
6.20969e-06,0
6.57236e-06,0
6.95621e-06,0
7.36248e-06,0
7.79248e-06,0
8.24759e-06,0
8.72928e-06,0
9.2391e-06,0
9.7787e-06,0
1.03498e-05,0
1.09543e-05,0
1.15941e-05,0
1.22712e-05,0
1.29879e-05,0
1.37464e-05,0
1.45493e-05,0
1.5399e-05,0
1.62983e-05,0
1.72502e-05,0
1.82577e-05,0
1.9324e-05,0
2.04526e-05,0
2.16471e-05,0
2.29114e-05,0
2.42495e-05,0
2.56658e-05,0
2.71647e-05,0
2.87513e-05,0
3.04305e-05,0
3.22077e-05,0
3.40888e-05,0
3.60797e-05,0
3.81869e-05,0
4.04171e-05,0
4.27776e-05,0
4.5276e-05,0
4.79203e-05,0
5.0719e-05,0
5.36812e-05,0
5.68164e-05,0
6.01346e-05,0
6.36467e-05,0
6.73639e-05,0
7.12982e-05,0
7.54623e-05,0
7.98696e-05,0
8.45343e-05,0
8.94714e-05,0
9.46969e-05,0
0.000100228,0
0.000106081,0
0.000112277,0
0.000118834,0
0.000125774,0
0.00013312,0
0.000140895,0
0.000149124,0
0.000157833,0
0.000167051,0
0.000176807,0
0.000187134,0
0.000198063,0
0.000209631,0
0.000221874,0
0.000234832,0
0.000248547,0
0.000263063,0
0.000278427,0
0.000294688,0
0.000311899,0
0.000330115,0
0.000349395,0
0.000369801,0
0.000391399,0
0.000414258,0
0.000438452,0
0.00046406,0
0.000491162,0
0.000519848,0
0.000550209,0
0.000582344,0
0.000616355,0
0.000652352,0
0.000690452,0
0.000730777,0
0.000773457,0
0.00081863,0
0.000866441,0
0.000917044,0
0.000970603,0
0.00102729,0
0.00108729,0
0.00115079,0
0.001218,0
0.00128913,0
0.00136443,0
0.00144411,0
0.00152845,0
0.00161772,0
0.0017122,0
0.0018122,0
0.00191804,0
0.00203006,0
0.00214862,0
0.00227411,0
0.00240693,0
0.0025475,0
0.00269629,0
0.00285376,0
0.00302043,0
0.00319683,0
0.00338354,0
0.00358115,0
0.00379031,0
0.00401167,0
0.00424597,0
0.00449395,0
0.00475641,0
0.00503421,0
0.00532822,0
0.00563941,0
0.00596877,0
0.00631737,0
0.00668633,0
0.00707684,0
0.00749015,0
0.0079276,0
0.00839061,0
0.00888065,0
0.00939931,0
0.00994827,0
0.0105293,0
0.0111442,0
0.0117951,0
0.012484,0
0.0132131,0
0.0139848,0
0.0148015,0
0.015666,0
0.016581,0
0.0175493,0
0.0185743,0
0.0196591,0
0.0208073,0
0.0220225,0
0.0233087,0
0.02467,0
0.0261108,0
0.0276358,0
0.0292498,0
0.0309581,0
0.0327662,0
0.0346799,0
0.0367053,0
0.038849,0
0.041118,0
0.0435194,0
0.0460611,0.0118956
0.0487512,0.0473248
0.0515985,0.0853121
0.054612,0.126681
0.0578016,0.16653
0.0611774,0.208821
0.0647504,0.248982
0.0685321,0.291715
0.0725346,0.330495
0.0767709,0.369303
0.0812546,0.409783
0.0860001,0.446334
0.0910229,0.48472
0.0963389,0.520232
0.101966,0.5559
0.107921,0.589038
0.114224,0.624139
0.120895,0.660317
0.127955,0.692074
0.135429,0.725684
0.143338,0.759324
0.15171,0.79136
0.16057,0.823283
0.169948,0.853479
0.179873,0.885435
0.190379,0.91484
0.201497,0.94509
0.213266,0.973066
0.225721,1.00239
0.238904,1.03017
0.252857,1.05778
0.267625,1.08454
0.283255,1.11042
0.299798,1.13779
0.317308,1.2013
0.33584,1.24129
0.355454,1.27834
0.376214,1.31531
0.398186,1.35451
0.421442,1.39634
0.446055,1.43372
