energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
3.97282e-08,449.937,74.333,9.41152e-06,2.17419
4.20485e-08,435.066,71.6312,9.15114e-06,2.11439
4.45043e-08,420.586,69.0103,8.89851e-06,2.05638
4.71035e-08,406.515,66.4731,8.6524e-06,1.99988
4.98545e-08,392.852,64.0188,8.4131e-06,1.94494
5.27662e-08,379.582,61.6464,8.17925e-06,1.89128
5.58479e-08,366.624,59.3687,7.95184e-06,1.83909
5.91097e-08,354.087,57.1866,7.731e-06,1.78843
6.25619e-08,341.833,55.1637,7.51633e-06,1.73919
6.62157e-08,329.989,53.2676,7.30796e-06,1.69143
7.0083e-08,318.537,51.5064,7.10547e-06,1.64501
7.41761e-08,307.337,49.8487,6.90879e-06,1.59995
7.85083e-08,296.509,48.2834,6.71791e-06,1.55623
8.30934e-08,286.05,46.8173,6.53312e-06,1.51392
8.79464e-08,275.932,45.4634,6.35445e-06,1.47302
9.30828e-08,265.905,44.1695,6.18019e-06,1.43317
9.85192e-08,256.308,42.9754,6.01071e-06,1.3944
1.04273e-07,247.157,41.8737,5.84534e-06,1.35661
1.10363e-07,238.438,40.8537,5.68433e-06,1.31982
1.16809e-07,230.104,39.9152,5.52807e-06,1.28414
1.23631e-07,222.081,39.0175,5.37624e-06,1.24949
1.30851e-07,214.599,38.2078,5.22892e-06,1.21589
1.38493e-07,207.513,37.4188,5.08577e-06,1.18325
1.46582e-07,201.503,36.4524,4.94686e-06,1.15162
1.55143e-07,196.398,35.3122,4.81197e-06,1.12093
1.64204e-07,191.381,34.6642,4.68117e-06,1.09118
1.73794e-07,186.745,34.3664,4.55506e-06,1.06253
1.83944e-07,183.152,34.373,4.43206e-06,1.03464
1.94687e-07,180.646,34.676,4.31234e-06,1.00748
2.06058e-07,179.287,35.2887,4.19572e-06,0.981059
2.18092e-07,180.223,36.4784,4.08212e-06,0.955346
2.30829e-07,182.955,38.0776,3.97321e-06,0.930751
2.44311e-07,187.889,39.9937,3.86739e-06,0.906897
2.58579e-07,193.556,42.0434,3.7645e-06,0.883737
2.73681e-07,198.388,43.2797,3.66434e-06,0.861169
2.89665e-07,198.369,42.6326,3.56709e-06,0.83937
3.06583e-07,190.348,39.4746,3.47244e-06,0.81814
3.24489e-07,175.593,34.5696,3.38081e-06,0.797663
3.4344e-07,157.841,29.1729,3.29185e-06,0.777806
3.63498e-07,140.232,24.2562,3.20572e-06,0.758651
3.84728e-07,124.897,20.2888,3.12208e-06,0.74007
4.07197e-07,112.236,17.2454,3.04163e-06,0.722297
4.30979e-07,101.852,14.92,2.96357e-06,0.705094
4.5615e-07,93.3571,13.1453,2.88806e-06,0.68858
4.82791e-07,86.4148,11.7936,2.81447e-06,0.672453
5.10988e-07,80.3105,10.6603,2.74337e-06,0.656985
5.40831e-07,75.0961,9.74456,2.67502e-06,0.642316
5.72418e-07,70.683,9.01265,2.60837e-06,0.627975
6.05849e-07,66.8412,8.40532,2.54339e-06,0.613954
6.41233e-07,63.4608,7.89245,2.48099e-06,0.600677
6.78683e-07,60.5437,7.47235,2.42127e-06,0.588199
7.18321e-07,58.2649,7.17857,2.36299e-06,0.57598
7.60273e-07,56.4332,6.97188,2.30655e-06,0.564228
8.04676e-07,55.333,6.91446,2.25279e-06,0.553377
8.51672e-07,55.3799,7.10889,2.20029e-06,0.542735
9.01413e-07,56.5158,7.56677,2.15006e-06,0.532793
9.54059e-07,60.8612,8.86829,2.10191e-06,0.523476
1.00978e-06,70.7553,11.8858,2.05536e-06,0.514577
1.06875e-06,92.5321,19.6466,2.01236e-06,0.507039
1.13117e-06,110.154,31.5899,1.97025e-06,0.499613
1.19724e-06,62.3348,22.786,1.92902e-06,0.492295
