energy_MeV,water_SigT_cm^-1,natU_SigT_cm^-1
2.56658e-05,1.50003,0.549123
2.71647e-05,1.49997,0.476927
2.87513e-05,1.4999,0.424467
3.04305e-05,1.49985,0.375575
3.22077e-05,1.49979,0.365617
3.40888e-05,1.49973,0.241644
3.60797e-05,1.49968,3.0492
3.81869e-05,1.49963,2.224
4.04171e-05,1.49958,1.01961
4.27776e-05,1.49953,0.788946
4.5276e-05,1.49949,0.706802
4.79203e-05,1.49945,0.654239
5.0719e-05,1.49941,0.58651
5.36812e-05,1.49937,0.539543
5.68164e-05,1.49933,0.514958
6.01346e-05,1.49929,0.459126
6.36467e-05,1.49925,0.382476
6.73639e-05,1.49922,1.43173
7.12982e-05,1.49919,0.672587
7.54623e-05,1.49915,0.590516
7.98696e-05,1.49912,0.495821
8.45343e-05,1.49909,0.520615
8.94714e-05,1.49906,0.574704
9.46969e-05,1.49902,0.353939
0.000100228,1.49897,0.144233
0.000106081,1.49876,1.17444
0.000112277,1.49855,0.607543
0.000118834,1.49834,1.10615
0.000125774,1.49813,0.707773
0.00013312,1.49792,0.632152
0.000140895,1.4977,0.554963
0.000149124,1.49749,0.549426
0.000157833,1.49728,0.480459
0.000167051,1.49706,0.476503
0.000176807,1.49685,0.344441
0.000187134,1.49664,0.142049
0.000198063,1.49643,0.93073
0.000209631,1.49621,2.2766
0.000221874,1.496,0.721573
0.000234832,1.49579,0.485591
0.000248547,1.49558,0.66347
0.000263063,1.49537,0.57974
0.000278427,1.49517,0.676325
0.000294688,1.49496,0.732802
0.000311899,1.49475,0.709489
0.000330115,1.49454,0.520759
0.000349395,1.49433,1.65229
0.000369801,1.49413,0.606905
0.000391399,1.49392,0.548234
0.000414258,1.49371,0.627044
0.000438452,1.4935,0.581239
0.00046406,1.4933,0.720705
0.000491162,1.49309,0.514518
0.000519848,1.49289,1.01828
0.000550209,1.49268,0.542796
0.000582344,1.49247,0.669281
0.000616355,1.49227,0.492903
0.000652352,1.49206,0.406893
0.000690452,1.49186,0.426127
0.000730777,1.49165,0.605372
0.000773457,1.49144,0.500801
0.00081863,1.49124,0.291684
0.000866441,1.49103,1.67682
0.000917044,1.49081,0.431294
0.000970603,1.49058,0.563404
0.00102729,1.48988,0.619204
0.00108729,1.48865,0.514621
0.00115079,1.48742,0.647209
0.001218,1.4862,0.54805
0.00128913,1.48496,0.615154
0.00136443,1.48373,0.468458
0.00144411,1.48249,2.12028
0.00152845,1.48125,0.877694
0.00161772,1.48001,0.460433
0.0017122,1.47878,1.00016
0.0018122,1.47754,0.698834
0.00191804,1.47631,1.98195
0.00203006,1.47508,2.75114
0.00214862,1.47384,0.271645
0.00227411,1.47261,0.662563
0.00240693,1.47138,0.474061
0.0025475,1.47015,13.8041
0.00269629,1.46892,1.75206
0.00285376,1.46769,0.397023
0.00302043,1.46646,0.516318
0.00319683,1.46523,0.577505
0.00338354,1.464,0.561278
0.00358115,1.46277,0.914775
0.00379031,1.46154,0.942453
0.00401167,1.46032,0.625386
0.00424597,1.45909,0.563605
0.00449395,1.45786,0.444459
0.00475641,1.45661,0.594349
0.00503421,1.45511,0.506423
0.00532822,1.45174,0.558707
0.00563941,1.44838,3.95595
0.00596877,1.44502,0.680469
0.00631737,1.44166,0.501605
0.00668633,1.4383,0.475371
0.00707684,1.43495,0.838838
0.00749015,1.43161,0.508906
0.0079276,1.42828,0.6047
0.00839061,1.42495,0.551275
0.00888065,1.42162,0.537574
0.00939931,1.41829,0.468071
0.00994827,1.41495,0.506
0.0105293,1.40904,0.742613
0.0111442,1.40288,0.73764
0.0117951,1.39676,0.732248
0.012484,1.39067,0.727193
0.0132131,1.38458,0.722643
0.0139848,1.37852,0.717629
0.0148015,1.37249,0.713252
0.015666,1.36648,0.708615
0.016581,1.3605,0.704267
0.0175493,1.35454,0.699948
0.0185743,1.34859,0.695752
0.0196591,1.34266,0.691576
0.0208073,1.33442,0.687555
0.0220225,1.32521,0.683686
0.0233087,1.31607,0.679728
0.02467,1.30698,0.675965
0.0261108,1.29796,0.672064
0.0276358,1.289,0.668529
0.0292498,1.28008,0.664747
0.0309581,1.26972,0.661156
0.0327662,1.25824,0.657594
0.0346799,1.24687,0.653854
0.0367053,1.23558,0.650312
0.038849,1.22438,0.646723
0.041118,1.21223,0.643151
0.0435194,1.19909,0.639596
0.0460611,1.18607,0.636054
0.0487512,1.17319,0.632516
0.0515985,1.15943,0.628886
0.054612,1.14501,0.625231
0.0578016,1.13078,0.62143
0.0611774,1.1162,0.617765
0.0647504,1.10079,0.614108
0.0685321,1.08558,0.61026
0.0725346,1.0698,0.606124
0.0767709,1.05378,0.602116
0.0812546,1.03767,0.598185
0.0860001,1.02103,0.593936
0.0910229,1.00446,0.589783
0.0963389,0.987406,0.585339
0.101966,0.970253,0.580946
0.107921,0.952649,0.576419
0.114224,0.93539,0.57189
0.120895,0.918308,0.566936
0.127955,0.900465,0.562043
0.135429,0.882945,0.55687
0.143338,0.865393,0.551523
0.15171,0.847672,0.546084
0.16057,0.830312,0.540478
0.169948,0.812671,0.534815
0.179873,0.795404,0.528813
0.190379,0.777971,0.522561
0.201497,0.760902,0.516383
0.213266,0.743922,0.50969
0.225721,0.727253,0.503197
0.238904,0.710873,0.496325
0.252857,0.694843,0.489378
0.267625,0.679315,0.482172
0.283255,0.664396,0.474736
0.299798,0.650315,0.467547
0.317308,0.637767,0.462324
0.33584,0.627791,0.456154
0.355454,0.623101,0.449758
0.376214,0.631634,0.443009
0.398186,0.682161,0.435771
0.421442,0.881164,0.428772
0.446055,0.896616,0.421394
0.472107,0.647297,0.414375
0.499679,0.560948,0.407078
0.528863,0.52252,0.400246
0.55975,0.498275,0.393351
0.592442,0.479685,0.386644
0.627042,0.463834,0.380217
0.663664,0.449557,0.373939
0.702424,0.436466,0.367832
0.743449,0.424502,0.361678
0.786869,0.414028,0.357141
0.832825,0.406351,0.35253
0.881465,0.406088,0.348319
0.932946,0.434867,0.344712
0.987433,0.547933,0.340622
1.0451,0.46478,0.338248
1.10614,0.3873,0.335655
1.17074,0.357016,0.335341
1.23912,0.345636,0.335057
1.31149,0.469494,0.334998
1.38808,0.322526,0.335795
1.46915,0.301802,0.337229
1.55496,0.289002,0.33775
1.64577,0.311355,0.334632
1.74189,0.267205,0.327487
1.84363,0.282336,0.318419
1.9513,0.258206,0.309633
2.06526,0.241188,0.302175
2.18588,0.22816,0.296634
2.31355,0.192938,0.292427
2.44867,0.203005,0.290204
2.59168,0.203978,0.289693
2.74304,0.198313,0.290625
2.90324,0.192656,0.292371
3.07281,0.197583,0.294333
3.25227,0.242671,0.29666
3.44221,0.296333,0.298853
3.64325,0.237728,0.300398
3.85603,0.210924,0.300853
4.08124,0.166185,0.299879
4.3196,0.220209,0.297222
4.57188,0.16038,0.293191
4.83889,0.179078,0.287665
5.1215,0.224467,0.280179
5.42062,0.135537,0.271635
5.7372,0.145056,0.266489
